objectid ,parentid,filename,format,title,creator,date,location,itemcategory,itemtype,medium,gender,label,culturalsignificance,itemdescription,date,location,originalowner,additionalimage
sw54,sw51,turkishcoat_sleeve.jpg,image/jpg,Turkish Coat ,,1900s,Turkey ,Clothing ,"Evening Coats, Outerwear, Coats","Cotton, Pressed Cotton, Lace, Hand Lumed",Male ,,,"Turkish evening coat, cotton silk pressed heat which gives stiffness and sheen to garment, hand sewn, hand lumed fabric and custom hand sewn ",1990,Bodrum,,
sw55,sw51,turkishcoat_lace.jpg,image/jpg,Turkish Coat ,,1900s,Turkey ,Clothing ,"Evening Coats, Outerwear, Coats","Cotton, Pressed Cotton, Lace, Hand Lumed",Male ,,,"Turkish evening coat, cotton silk pressed heat which gives stiffness and sheen to garment, hand sewn, hand lumed fabric and custom hand sewn ",1990,Bodrum,,
sw56,sw51,turkishcoat_fabric.jpg,image/jpg,Turkish Coat ,,1900s,Turkey ,Clothing ,"Evening Coats, Outerwear, Coats","Cotton, Pressed Cotton, Lace, Hand Lumed",Male ,,,"Turkish evening coat, cotton silk pressed heat which gives stiffness and sheen to garment, hand sewn, hand lumed fabric and custom hand sewn ",1990,Bodrum,,
sw57,,,compound_object,Velvet Hat ,,1960s ,USA ,Head Wear ,"Hats, Accessories ","Velvet, Netting ",Female ,"jacque-lynn, WASHINGTON, D.C. ",,"Green hat, damaged veil ",1988,Paris,,
sw58,sw57,velvethat_whole.jpg,image/jpg,Velvet Hat ,,1960s ,USA ,Head Wear ,"Hats, Accessories ","Velvet, Netting ",Female ,"jacque-lynn, WASHINGTON, D.C. ",,"Green hat, damaged veil ",1988,Paris,,
sw59,sw57,velvethat_front.jpg,image/jpg,Velvet Hat ,,1960s ,USA ,Head Wear ,"Hats, Accessories ","Velvet, Netting ",Female ,"jacque-lynn, WASHINGTON, D.C. ",,"Green hat, damaged veil ",1988,Paris,,
sw60,sw57,velvethat_side.jpg,image/jpg,Velvet Hat ,,1960s ,USA ,Head Wear ,"Hats, Accessories ","Velvet, Netting ",Female ,"jacque-lynn, WASHINGTON, D.C. ",,"Green hat, damaged veil ",1988,Paris,,
sw61,sw57,velvethat_label.JPG,image/jpg,Velvet Hat ,,1960s ,USA ,Head Wear ,"Hats, Accessories ","Velvet, Netting ",Female ,"jacque-lynn, WASHINGTON, D.C. ",,"Green hat, damaged veil ",1988,Paris,,
sw62,sw57,velvethat_damage.JPG,image/jpg,Velvet Hat ,,1960s ,USA ,Head Wear ,"Hats, Accessories ","Velvet, Netting ",Female ,"jacque-lynn, WASHINGTON, D.C. ",,"Green hat, damaged veil ",1988,Paris,,
sw63,,,compound_object,Black Heels ,Arthur Hutton ,1920s ,,Shoes ,"Shoes, Pumps, Accessories","Celluloid, Rinestones, Silk Satin, Silk, Satin",Female ,Arthur Hutton,Early representation of plastic use in clothing items ,"Plastic first introduced in garment/wearable object creation in early 1900s, evening shoe ",1986-1988,Edinburgh ,,
sw64,sw63,blackheels_side.jpg,image/jpg,Black Heels ,Arthur Hutton ,1920s ,,Shoes ,"Shoes, Pumps, Accessories","Celluloid, Rinestones, Silk Satin, Silk, Satin",Female ,Arthur Hutton,Early representation of plastic use in clothing items ,"Plastic first introduced in garment/wearable object creation in early 1900s, evening shoe ",1986-1988,Edinburgh ,,
sw65,sw63,blackheels_heel.jpg,image/jpg,Black Heels ,Arthur Hutton ,1920s ,,Shoes ,"Shoes, Pumps, Accessories","Celluloid, Rinestones, Silk Satin, Silk, Satin",Female ,Arthur Hutton,Early representation of plastic use in clothing items ,"Plastic first introduced in garment/wearable object creation in early 1900s, evening shoe ",1986-1988,Edinburgh ,,
sw66,sw63,blackheels_label.JPG,image/jpg,Black Heels ,Arthur Hutton ,1920s ,,Shoes ,"Shoes, Pumps, Accessories","Celluloid, Rinestones, Silk Satin, Silk, Satin",Female ,Arthur Hutton,Early representation of plastic use in clothing items ,"Plastic first introduced in garment/wearable object creation in early 1900s, evening shoe ",1986-1988,Edinburgh ,,
sw67,,,compound_object,Green Knit Bra ,,1920s ,,Clothing ,Underwear,"Cotton, Silk Satin Ribbon",Female ,,Early representation of bras after transition from corsets ,"Crocheted or knit bra, most likely machine knit, before invention of stretchy fabric ",1987-1988,Edinburgh ,,
sw68,sw68,greenknitbra_whole.jpg,image/jpg,Green Knit Bra ,,1920s ,,Clothing ,Underwear,"Cotton, Silk Satin Ribbon",Female ,,Early representation of bras after transition from corsets ,"Crocheted or knit bra, most likely machine knit, before invention of stretchy fabric ",1987-1988,Edinburgh ,,
sw69,sw68,greenknitbra_front.JPG,image/jpg,Green Knit Bra ,,1920s ,,Clothing ,Underwear,"Cotton, Silk Satin Ribbon",Female ,,Early representation of bras after transition from corsets ,"Crocheted or knit bra, most likely machine knit, before invention of stretchy fabric ",1987-1988,Edinburgh ,,
sw70,sw68,greenknitbra_cup.JPG,image/jpg,Green Knit Bra ,,1920s ,,Clothing ,Underwear,"Cotton, Silk Satin Ribbon",Female ,,Early representation of bras after transition from corsets ,"Crocheted or knit bra, most likely machine knit, before invention of stretchy fabric ",1987-1988,Edinburgh ,,
sw71,sw68,greenknitbra_strap.JPG,image/jpg,Green Knit Bra ,,1920s ,,Clothing ,Underwear,"Cotton, Silk Satin Ribbon",Female ,,Early representation of bras after transition from corsets ,"Crocheted or knit bra, most likely machine knit, before invention of stretchy fabric ",1987-1988,Edinburgh ,,
sw72,sw68,greenknitbra_clasp.JPG,image/jpg,Green Knit Bra ,,1920s ,,Clothing ,Underwear,"Cotton, Silk Satin Ribbon",Female ,,Early representation of bras after transition from corsets ,"Crocheted or knit bra, most likely machine knit, before invention of stretchy fabric ",1987-1988,Edinburgh ,,
sw73,,,compound_object,Day Dress,,1860s ,,Clothing ,"Suits, Ensembles","Silk, Taffeta, Silk Taffeta  ",Female ,,,,2021,England,,
sw74,sw73,daydress_whole.jpg,image/jpg,Day Dress,,1860s ,,Clothing ,"Suits, Ensembles","Silk, Taffeta, Silk Taffeta  ",Female ,,,,2021,England,,
sw75,sw73,daydress_front.jpg,image/jpg,Day Dress,,1860s ,,Clothing ,"Suits, Ensembles","Silk, Taffeta, Silk Taffeta  ",Female ,,,,2021,England,,
sw76,sw73,daydress_jacket.jpg,image/jpg,Day Dress,,1860s ,,Clothing ,"Suits, Ensembles","Silk, Taffeta, Silk Taffeta  ",Female ,,,,2021,England,,
